UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
P07737,10.80093157,11.10295564,-0.302024072,0.152412707,-1.492340215,,,,
Q02985,9.990462375,9.77957483,0.210887546,0.152842294,1.447701908,,,,
Q13045,16.59105122,16.36848079,0.22257043,0.153850797,1.451240081,,,,
Q14515,9.724478031,9.975014446,-0.250536414,0.15498369,-1.491444999,,,,
P19827,19.23657371,19.31092616,-0.074352456,0.155162164,-1.431230397,,,,
P12955,3.793873512,4.900968465,-1.107094953,0.155332605,-1.442750317,,,,
P30613,12.92955336,13.05837574,-0.128822374,0.155802596,-1.431033054,,,,
P13716,13.16914579,13.28065433,-0.111508549,0.156129674,-1.433838829,,,,
P31948,6.056577761,6.867269295,-0.810691534,0.156863035,-1.439599645,,,,
Q9NTX5,13.41180231,13.54445773,-0.132655416,0.159889415,-1.421578612,,,,
Q05639,15.76329955,16.49985636,-0.736556808,0.160236562,-1.457960295,,,,
P26599,10.48033944,10.00982631,0.470513137,0.162866287,1.411478367,,,,
P05156,17.12554516,17.20284588,-0.07730072,0.163789316,-1.401492271,,,,
P29350,18.54428547,18.63245263,-0.088167159,0.163888562,-1.400851671,,,,
P02766,18.28910337,18.4014681,-0.112364735,0.16414593,-1.400028612,,,,
P00533,17.73637915,17.9294205,-0.193041347,0.164757228,-1.399120827,,,,
P03952,16.47734357,16.55052893,-0.073185361,0.164799304,-1.397355282,,,,
Q9Y5Y7,11.23231999,11.13520916,0.097110826,0.166403992,1.393345797,,,,
P52701,11.40009443,11.2117666,0.18832783,0.16837497,1.400174995,,,,
Q7L8L6,16.72554929,16.86598571,-0.140436419,0.168493223,-1.387402667,,,,
P04792,11.09020357,11.88655912,-0.796355546,0.168601538,-1.388177608,,,,
P31327,14.4031609,14.5944258,-0.191264901,0.169422531,-1.385869493,,,,
O00429,8.607676598,8.232736052,0.374940546,0.170255874,1.388215686,,,,
P49591,10.06979885,10.43695619,-0.367157342,0.172127486,-1.390536284,,,,
P30041,14.6073345,14.73541072,-0.128076224,0.175573652,-1.363377105,,,,
Q13451,14.14801562,14.28516239,-0.137146768,0.176236997,-1.363898415,,,,
P27918,12.8890648,12.99034579,-0.101280989,0.18193334,-1.343816664,,,,
O14980,15.24573691,14.91357642,0.3321605,0.183581594,1.33864117,,,,
P14923,16.70996996,16.52344772,0.186522241,0.184423857,1.348278506,,,,
P02749,20.19028714,20.27029702,-0.080009884,0.184938895,-1.333577525,,,,
P49588,15.32141149,15.39977499,-0.078363499,0.185492132,-1.337145616,,,,
P78527,12.34258038,12.13052956,0.212050823,0.186254099,1.335789537,,,,
P39060,10.95326773,10.71705184,0.23621589,0.189230682,1.323074814,,,,
P35858,15.6879722,15.82382396,-0.135851758,0.191702015,-1.314573561,,,,
Q9BXR6,10.46675353,10.60685573,-0.140102195,0.191956788,-1.314212065,,,,
P02452,11.75622012,12.04544773,-0.289227609,0.192208425,-1.325398778,,,,
Q08188,9.127190792,9.568212215,-0.441021423,0.194210533,-1.326441493,,,,
Q14974,17.3458191,17.11607775,0.229741356,0.195239436,1.303581145,,,,
P62258,12.05967785,11.90335241,0.15632544,0.195452964,1.346042316,,,,
P35052,10.99799002,10.69951632,0.298473702,0.197585127,1.311495051,,,,
P23141,11.15721985,10.96049403,0.196725815,0.198682263,1.301508163,,,,
P10909,18.01612688,18.08887606,-0.072749176,0.199379293,-1.289551787,,,,
P55786,11.31892718,10.92983074,0.389096441,0.200608714,1.318462151,,,,
P29144,14.75940587,14.8804753,-0.121069429,0.201939055,-1.289274349,,,,
Q7KZF4,12.00880237,12.66574199,-0.656939615,0.205626309,-1.279397075,,,,
